Publisher Label,Publisher URI,"ExtractDate","OrganisationLabel","OrganisationURI","ServiceTypeLabel","ServiceTypeURI"," LocationText ","CoordinateReferenceSystem","GeoX","GeoY","GeoPointLicensingURL","GeoLatitude","GeoLongitude","Category","AutomaticPublicConvenience","ManagedBy"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow",12/03/2015 00:00:00,"Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","Public toilets","http://id.esd.org.uk/service/579","Half Acre, Brentford, 20m before Junction with high street","OSGB36",517672,177462,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html",51.483879,-0.306733,"","Yes","JCDecaux"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow",12/03/2015 00:00:00,"Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","Public toilets","http://id.esd.org.uk/service/579","Holly road, Chiswick","OSGB36",520855,178507,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html",51.4926,-0.260558,"","Yes","JCDecaux"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow",12/03/2015 00:00:00,"Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","Public toilets","http://id.esd.org.uk/service/579","Bath road, junction with Corban road","OSGB36",513489,175646,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html",51.468411,-0.367531,"","Yes","JCDecaux"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow",12/03/2015 00:00:00,"Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","Public toilets","http://id.esd.org.uk/service/579","Staines road, Bedfont","OSGB36",509217,173881,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html",51.453387,-0.429553,"","Yes","JCDecaux"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow",12/03/2015 00:00:00,"Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","Public toilets","http://id.esd.org.uk/service/579","Linkfield Road, Isleworth","OSGB36",515612,176441,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html",51.475127,-0.336721,"","Yes","JCDecaux"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow",12/03/2015 00:00:00,"Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","Public toilets","http://id.esd.org.uk/service/579","Bath Road, Hounslow West Station","OSGB36",512184,176106,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html",51.472806,-0.386165,"","Yes","JCDecaux"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow",12/03/2015 00:00:00,"Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","Public toilets","http://id.esd.org.uk/service/579","Prince Regent Road, Hounslow","OSGB36",514113,175835,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html",51.469985,-0.35849,"","Yes","JCDecaux"
