PublisherLabel,PublisherURI,ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,RADARKeyNeeded,BabyChange,FamilyToilet,ChangingPlace,AutomaticPublicConvenience,FullTimeStaffing,PartOfCommunityScheme,CommunitySchemeName,ChargeAmount,InfoURL,OpeningHours,ManagedBy,ReportEmail,ReportTel,Notes,UPRN,Postcode,StreetAddress,GeoAreaURI,GeoAreaLabel
London Borough of Harrow,http://opendatacommunities.org/id/london-borough-council/harrow,09/03/2007,http://opendatacommunities.org/id/london-borough-council/harrow,Harrow,http://id.esd.org.uk/service/579,Public toilets,"TOILET ADJACENT TO PEEL HOUSE, FOOTBALL LANE , WEALDSTONE HA1 3EA",OSGB36,515470,187325,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,YES,NO,NO,NO,NO,NO,,,,,,,,,,,HA2 8EQ,"NORTHOLT ROAD, HARROW",,HARROW
London Borough of Harrow,http://opendatacommunities.org/id/london-borough-council/harrow,09/03/2007,http://opendatacommunities.org/id/london-borough-council/harrow,Harrow,http://id.esd.org.uk/service/579,Public toilets,"TOILET ADJACENT TO NORTH HARROW LIBRARY, 429-433 PINNER ROAD, NORTH HARROW HA1 4HN",OSGB36,513664,188643,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,NO,NO,YES,NO,YES,NO,,,,,,,,,,,HA2 8EQ,"NORTHOLT ROAD, HARROW",,HARROW
London Borough of Harrow,http://opendatacommunities.org/id/london-borough-council/harrow,09/03/2007,http://opendatacommunities.org/id/london-borough-council/harrow,Harrow,http://id.esd.org.uk/service/579,Public toilets,"TOILET ADJACENT TO RAYNERS LANE LIBRARY, 226 IMPERIAL DRIVE,  HARROW HA2 7HJ",OSGB36,513047,187649,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,NO,NO,NO,NO,NO,NO,,,,,,,,,,,HA1 1L,"CORNER OF COLLEGE ROAD AND STATION ROAD, HARROW",,HARROW
London Borough of Harrow,http://opendatacommunities.org/id/london-borough-council/harrow,09/03/2007,http://opendatacommunities.org/id/london-borough-council/harrow,Harrow,http://id.esd.org.uk/service/579,Public toilets,"TOILET ADJACENT TO ROXETH RECREATION GROUND, KINGSLEY LANE, SOUTH HARROW",OSGB36,514432,185962,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,NO,NO,YES,NO,NO,NO,,,,,,,,,,,HA7 1JJ,"CORNER OF HONEYPOT LANE AND STREATFIELD ROAD, STANMORE",,HARROW
London Borough of Harrow,http://opendatacommunities.org/id/london-borough-council/harrow,09/03/2007,http://opendatacommunities.org/id/london-borough-council/harrow,Harrow,http://id.esd.org.uk/service/579,Public toilets,"TOILET ADJACENT TO HARROW RECREATION GROUND, BUTLER ROAD, HARROW",OSGB36,514073,187718,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,NO,NO,YES,NO,NO,NO,,,,,,,,,,,,"HARROW RECREATION GROUND, BUTLER ROAD, HARROW",,HARROW
London Borough of Harrow,http://opendatacommunities.org/id/london-borough-council/harrow,09/03/2007,http://opendatacommunities.org/id/london-borough-council/harrow,Harrow,http://id.esd.org.uk/service/579,Public toilets,"TOILET ADJACENT TO CANONS PARK, LODGE CLOSE, EDGWARE",OSGB36,518322,191394,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,NO,NO,YES,NO,NO,NO,,,,,,,,,,,,"CANONS PARK, LODGE CLOSE, EDGWARE",,HARROW
