ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,RADARKeyNeeded,BabyChange,FamilyToilet,ChangingPlace,AutomaticPublicConvenience,FullTimeStaffing,PartOfCommunityScheme,CommunitySchemeName,ChargeAmount,InfoURL,OpeningHours,ManagedBy,ReportEmail,ReportTel,Notes,UPRN,Postcode,StreetAddress,GeoAreaURI,GeoAreaLabel
01/02/2015,,Newcastle Upon Tyne,http://id.esd.org.uk/service/579,Public toilets,Dean Street,OSGB36,425128,564026,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,FALSE,FALSE,,,FALSE,FALSE,,,,http://www.newcastle.gov.uk/environment-and-waste/street-care-and-cleaning/public-toilets,7.00am - Midnight,,,,,4510737901,NE1 1PQ,"Dean Street Multi Storey Car Park, Level 1, Dean Street",,
01/02/2015,,Newcastle Upon Tyne,http://id.esd.org.uk/service/579,Public toilets,Eldon Gardens,OSGB36,424641,564663,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,FALSE,TRUE,,,FALSE,FALSE,,,,http://www.newcastle.gov.uk/environment-and-waste/street-care-and-cleaning/public-toilets,7.00am - 10.00pm,,,,,4510737902,NE1 7RA,"Eldon Gardens Multi Storey Car Park, Level 1",,
01/02/2015,,Newcastle Upon Tyne,http://id.esd.org.uk/service/579,Public toilets,Exhibition Park,OSGB36,424717,565644,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,FALSE,TRUE,,,FALSE,FALSE,,,,http://www.newcastle.gov.uk/environment-and-waste/street-care-and-cleaning/public-toilets,as per cafe opening hours,,,,,4510737903,NE2 4PZ,"Exhibition Park Toilet, adjacent to Cafe in the Park",,
01/02/2015,,Newcastle Upon Tyne,http://id.esd.org.uk/service/579,Public toilets,Grainger Arcade,OSGB36,424737,564369,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,FALSE,TRUE,,,FALSE,FALSE,,,,http://www.newcastle.gov.uk/environment-and-waste/street-care-and-cleaning/public-toilets,As per Arcade opening hours,,,,,4510139495,NE1 5PN,Granger Street,,
01/02/2015,,Newcastle Upon Tyne,http://id.esd.org.uk/service/579,Public toilets,Grainger Town,OSGB36,424272,563939,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,FALSE,TRUE,,,FALSE,FALSE,,,,http://www.newcastle.gov.uk/environment-and-waste/street-care-and-cleaning/public-toilets,24 Hours,,,,,4510737904,NE1 6PZ,"Grainger Town Multi Storey Car Park, Level 1",,
01/02/2015,,Newcastle Upon Tyne,http://id.esd.org.uk/service/579,Public toilets,Leases Park,OSGB36,424233,565043,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,FALSE,TRUE,,,FALSE,FALSE,,,,http://www.newcastle.gov.uk/environment-and-waste/street-care-and-cleaning/public-toilets,Park Keepers Hours,,,,,4510719081,NE1 4RR,"Park Keepers Lodge, Richardson Road",,
01/02/2015,,Newcastle Upon Tyne,http://id.esd.org.uk/service/579,Public toilets,Newburn Park,OSGB36,415909,565516,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,FALSE,TRUE,,,FALSE,FALSE,,,,http://www.newcastle.gov.uk/environment-and-waste/street-care-and-cleaning/public-toilets,As per Country Park building opening hours,,,,,4510737905,NE15 8ND,"Granger Road, Newburn Country Park",,
01/02/2015,,Newcastle Upon Tyne,http://id.esd.org.uk/service/579,Public toilets,West Road Crematorium,OSGB36,420705,565361,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,FALSE,TRUE,,,FALSE,FALSE,,,,http://www.newcastle.gov.uk/environment-and-waste/street-care-and-cleaning/public-toilets,As per Crematorium hours,,,,,4510737906,NE5 2JR,"West Road Crematorium, West Road",,
